Property ID,Livable surface,Number of bathrooms,Number of bedrooms,Number of garages,Price,Total land surface
rbu55839,251.0,1.0,4.0,1936.0,399000.0,119.0
rbu66858,189.0,1.0,0.0,1.0,285000.0,379.0
rbu67232,224.0,1.0,0.0,1.0,400000.0,386.0
vba87665,133.0,2.0,4.0,1.0,415000.0,625.0
vbc87224,175.0,3.0,8.0,1.0,349000.0,312.0
vbd08297,122.0,1.0,2.0,1.0,175000.0,575.0
vbd25719,142.0,1.0,0.0,2.0,180000.0,880.0
vbd30007,216.0,1.0,3.0,111.0,399000.0,1220.0
vbd42447,363.0,1.0,0.0,1.0,179000.0,2966.0
vbd45788,91.0,1.0,0.0,1.0,99999.0,494.0
vbd46461,174.0,1.0,0.0,1.0,280000.0,181.0
vbd49633,200.0,1.0,0.0,1.0,550000.0,79.0
