Property ID,Price,Column,Number of bedrooms,Livable surface,Number of bathrooms,Number of toilets,Number of facades,Surface garden,Surface terrace,Total land surface,Number of garages,Number of showers
rbu62746,5000.0,Price,,,,,,,,,,
vwd15390,8600002.0,Price,,,,,,,,,,
vbc67379,40000.0,Price,,,,,,,,,,
vbb99440,35000.0,Price,,,,,,,,,,
vbd49233,45000.0,Price,,,,,,,,,,
rbu62749,5000.0,Price,,,,,,,,,,
vbd46804,39000.0,Price,,,,,,,,,,
vbd49360,40000.0,Price,,,,,,,,,,
rbu62752,5000.0,Price,,,,,,,,,,
vbc23580,25000.0,Price,,,,,,,,,,
rbu44553,44950.0,Price,,,,,,,,,,
vbd47918,30000.0,Price,,,,,,,,,,
vbc49323,40000.0,Price,,,,,,,,,,
vbc89519,35000.0,Price,,,,,,,,,,
vbd23812,34500.0,Price,,,,,,,,,,
vbd43488,20000.0,Price,,,,,,,,,,
vbd35181,30000.0,Price,,,,,,,,,,
vwd15462,42000.0,Price,,,,,,,,,,
vbd21807,45000.0,Price,,,,,,,,,,
vbd45644,40000.0,Price,,,,,,,,,,
rwc41071,39500.0,Price,,,,,,,,,,
vbd49657,40000.0,Price,,,,,,,,,,
vbd47633,37500.0,Price,,,,,,,,,,
vbd36695,39000.0,Price,,,,,,,,,,
rbu62750,5000.0,Price,,,,,,,,,,
vbd49672,30000.0,Price,,,,,,,,,,
vbc61485,16500.0,Price,,,,,,,,,,
rbu60912,45000.0,Price,,,,,,,,,,
vwd14188,45200.0,Price,,,,,,,,,,
vbd46254,45000.0,Price,,,,,,,,,,
vbd48884,,Number of bedrooms,20.0,,,,,,,,,
vbd42306,,Number of bedrooms,18.0,,,,,,,,,
vbc64856,,Number of bedrooms,15.0,,,,,,,,,
vbd46508,,Number of bedrooms,16.0,,,,,,,,,
vbd45568,,Number of bedrooms,29.0,,,,,,,,,
rbu62638,,Number of bedrooms,12.0,,,,,,,,,
vbd50116,,Number of bedrooms,12.0,,,,,,,,,
rbu60212,,Number of bedrooms,11.0,,,,,,,,,
rbu62802,,Number of bedrooms,50.0,,,,,,,,,
vbd43024,,Number of bedrooms,14.0,,,,,,,,,
vwd15515,,Number of bedrooms,12.0,,,,,,,,,
vbd49425,,Number of bedrooms,11.0,,,,,,,,,
vbd38449,,Number of bedrooms,11.0,,,,,,,,,
vbd16418,,Number of bedrooms,11.0,,,,,,,,,
vbd46720,,Number of bedrooms,23.0,,,,,,,,,
vbd48834,,Number of bedrooms,11.0,,,,,,,,,
vbd47882,,Number of bedrooms,17.0,,,,,,,,,
vbd42479,,Number of bedrooms,13.0,,,,,,,,,
vbb73160,,Number of bedrooms,24.0,,,,,,,,,
rbu67199,,Number of bedrooms,15.0,,,,,,,,,
vbd22679,,Number of bedrooms,14.0,,,,,,,,,
rbu59670,,Number of bedrooms,15.0,,,,,,,,,
vbd47586,,Number of bedrooms,17.0,,,,,,,,,
